Linea 62 Columnas: 37-40     	 ASC          	 es PALABRA_RESERVADA

Linea 62 Columnas: 40-41     	 )          	 es OPERADOR

Linea 62 Columnas: 42-44     	 AS          	 es PALABRA_RESERVADA

Linea 62 Columnas: 45-63     	 COMENTARIO_VISIBLE          	 es IDENTIFICADOR

Linea 62 Columnas: 63-64     	 ,          	 es OPERADOR

Linea 63 Columnas: 11-12     	 (          	 es OPERADOR

Linea 63 Columnas: 13-19     	 SELECT          	 es PALABRA_RESERVADA

Linea 63 Columnas: 20-23     	 TOP          	 es PALABRA_RESERVADA

Linea 63 Columnas: 24-25     	 1          	 es BOOLEANO (value = 1)

Linea 64 Columnas: 20-22     	 ES          	 es IDENTIFICADOR

Linea 64 Columnas: 22-23     	 .          	 es OPERADOR

Linea 64 Columnas: 23-33     	 COMENTARIO          	 es IDENTIFICADOR

Linea 65 Columnas: 13-17     	 FROM          	 es PALABRA_RESERVADA

Linea 65 Columnas: 18-23     	 Becas          	 es IDENTIFICADOR

Linea 65 Columnas: 23-24     	 .          	 es OPERADOR

Linea 65 Columnas: 24-27     	 dbo          	 es IDENTIFICADOR

Linea 65 Columnas: 27-28     	 .          	 es OPERADOR

Linea 65 Columnas: 28-58     	 SB_HISTORIAL_ESTATUS_SOLICITUD          	 es IDENTIFICADOR

Linea 65 Columnas: 59-61     	 AS          	 es PALABRA_RESERVADA

Linea 65 Columnas: 62-64     	 ES          	 es IDENTIFICADOR

Linea 65 Columnas: 65-69     	 WITH          	 es PALABRA_RESERVADA

Linea 65 Columnas: 70-71     	 (          	 es OPERADOR

Linea 65 Columnas: 71-77     	 NOLOCK          	 es IDENTIFICADOR

Linea 65 Columnas: 77-78     	 )          	 es OPERADOR

Linea 66 Columnas: 13-18     	 WHERE          	 es PALABRA_RESERVADA

Linea 66 Columnas: 19-21     	 ES          	 es IDENTIFICADOR

Linea 66 Columnas: 21-22     	 .          	 es OPERADOR

Linea 66 Columnas: 22-35     	 ESTATUS_NUEVO          	 es IDENTIFICADOR

Linea 66 Columnas: 36-37     	 =          	 es OPERADOR

Linea 66 Columnas: 38-39     	 2          	 es ENTERO (value = 2)

Linea 67 Columnas: 19-22     	 AND          	 es PALABRA_RESERVADA

Linea 67 Columnas: 23-25     	 ES          	 es IDENTIFICADOR

Linea 67 Columnas: 25-26     	 .          	 es OPERADOR

Linea 67 Columnas: 26-38     	 NO_SOLICITUD          	 es IDENTIFICADOR

Linea 67 Columnas: 39-40     	 =          	 es OPERADOR

Linea 67 Columnas: 41-42     	 s          	 es IDENTIFICADOR

Linea 67 Columnas: 42-43     	 .          	 es OPERADOR

Linea 67 Columnas: 43-55     	 NO_SOLICITUD          	 es IDENTIFICADOR

Linea 68 Columnas: 13-18     	 ORDER          	 es PALABRA_RESERVADA

Linea 68 Columnas: 19-21     	 BY          	 es PALABRA_RESERVADA

Linea 68 Columnas: 22-24     	 ES          	 es IDENTIFICADOR

Linea 68 Columnas: 24-25     	 .          	 es OPERADOR

Linea 68 Columnas: 25-36     	 FEC_TRANSAC          	 es IDENTIFICADOR

Linea 68 Columnas: 37-40     	 ASC          	 es PALABRA_RESERVADA

Linea 68 Columnas: 40-41     	 )          	 es OPERADOR

Linea 68 Columnas: 42-44     	 AS          	 es PALABRA_RESERVADA

Linea 68 Columnas: 45-55     	 COMENTARIO          	 es IDENTIFICADOR

Linea 68 Columnas: 55-56     	 ,          	 es OPERADOR

Linea 69 Columnas: 11-17     	 master          	 es IDENTIFICADOR

Linea 69 Columnas: 17-18     	 .          	 es OPERADOR

Linea 69 Columnas: 18-21     	 dbo          	 es IDENTIFICADOR

Linea 69 Columnas: 21-22     	 .          	 es OPERADOR

Linea 69 Columnas: 22-30     	 f_nombre          	 es IDENTIFICADOR

Linea 69 Columnas: 30-31     	 (          	 es OPERADOR

Linea 69 Columnas: 31-32     	 P          	 es IDENTIFICADOR

Linea 69 Columnas: 32-33     	 .          	 es OPERADOR

Linea 69 Columnas: 33-40     	 NOMBRES          	 es IDENTIFICADOR

Linea 69 Columnas: 40-41     	 ,          	 es OPERADOR

Linea 69 Columnas: 42-43     	 P          	 es IDENTIFICADOR

Linea 69 Columnas: 43-44     	 .          	 es OPERADOR

Linea 69 Columnas: 44-55     	 PRIMER_APEL          	 es IDENTIFICADOR

Linea 69 Columnas: 55-56     	 ,          	 es OPERADOR

Linea 69 Columnas: 57-58     	 P          	 es IDENTIFICADOR

Linea 69 Columnas: 58-59     	 .          	 es OPERADOR

Linea 69 Columnas: 59-71     	 SEGUNDO_APEL          	 es IDENTIFICADOR

Linea 69 Columnas: 71-72     	 ,          	 es OPERADOR

Linea 69 Columnas: 73-74     	 P          	 es IDENTIFICADOR

Linea 69 Columnas: 74-75     	 .          	 es OPERADOR

Linea 69 Columnas: 75-86     	 CASADA_APEL          	 es IDENTIFICADOR

Linea 69 Columnas: 86-87     	 ,          	 es OPERADOR

Linea 69 Columnas: 88-89     	 0          	 es BOOLEANO (value = 0)

